Word,Freq_Per_Mil,Log_Freq,Word_Syll
4298,brining,0.02,0.301,2
4299,brink,2.49,2.1072,1
4300,brinksmanship,0.02,0.301,3
4301,brio,0.02,0.301,2
4302,brioche,0.16,0.9542,2
4303,brisk,1.04,1.7324,1
4304,brisket,0.92,1.6812,2
4305,briskly,0.24,1.1139,2
4306,brisky,0.02,0.301,2
4307,bristle,0.22,1.0792,2
4308,bristled,0.02,0.301,2
4309,bristles,0.31,1.2304,2
4310,bristling,0.1,0.7782,3
4311,britches,1.53,1.8976,2
4312,brittle,1.39,1.8573,2
4313,bro,24.9,3.1041,1
4314,broach,0.45,1.3802,1
4315,broached,0.25,1.1461,1
4316,broaches,0.02,0.301,2
4317,broaching,0.02,0.301,2
4318,broad,14.73,2.8762,1
4319,broadband,0.31,1.2304,2
4320,broadcast,8.96,2.6609,2
4321,broadcaster,0.14,0.9031,3
4322,broadcasters,0.08,0.699,3
4323,broadcasting,3.2,2.2148,3
4324,broadcasts,0.55,1.4624,2
4325,broaden,0.98,1.7076,2
4326,broadened,0.12,0.8451,2
4327,broadening,0.22,1.0792,3
4328,broadens,0.1,0.7782,2
4329,broader,0.67,1.5441,2
4330,broadest,0.1,0.7782,2
4331,broadly,0.18,1.0,2
4332,broadside,0.45,1.3802,2
4333,broadsided,0.02,0.301,3
4334,brobdingnagian,0.04,0.4771,5
4335,brocade,0.1,0.7782,2
4336,brocades,0.02,0.301,2
4337,broccoli,2.27,2.0682,3
4338,brochure,1.9,1.9912,2
4339,brochures,1.14,1.7709,2
4340,broil,0.29,1.2041,1
4341,broiled,0.25,1.1461,1
4342,broiler,0.2,1.0414,2
4343,broiling,0.08,0.699,2
4344,broke,105.0,3.7288,1
4345,broken,71.25,3.5605,2
4346,broker,3.63,2.2695,2
4347,brokerage,0.55,1.4624,3
4348,brokerages,0.04,0.4771,4
4349,brokered,0.41,1.3424,2
4350,brokering,0.16,0.9542,3
4351,brokers,1.1,1.7559,2
4352,brolly,0.02,0.301,2
4353,bromide,0.45,1.3802,2
4354,bromides,0.04,0.4771,2
4355,bronc,0.63,1.5185,1
4356,bronchial,0.33,1.2553,3
4357,bronchitis,0.35,1.2788,3
4358,brontosaurus,0.22,1.0792,4
4359,bronze,2.8,2.1584,1
4360,bronzed,0.33,1.2553,1
4361,bronzes,0.1,0.7782,2
4362,brooch,1.31,1.8325,1
4363,brood,1.08,1.7482,1
4364,brooded,0.06,0.6021,2
4365,brooding,0.96,1.699,2
4366,broody,0.16,0.9542,2
4367,brook,2.04,2.0212,1
4368,brooking,0.02,0.301,2
4369,broom,4.76,2.3874,1
4370,brooms,0.47,1.3979,1
4371,broomstick,0.84,1.6435,2
4372,broomsticks,0.29,1.2041,2
4373,broth,0.88,1.6628,1
4374,brothel,1.61,1.9191,2
4375,brothels,0.27,1.1761,2
4376,brother,283.94,4.1608,2
4377,brotherhood,4.16,2.3284,3
4378,brotherly,0.84,1.6435,3
4379,brothers,47.06,3.3804,2
4380,broths,0.02,0.301,1
4381,brought,172.27,3.9438,1
4382,brouhaha,0.22,1.0792,3
4383,brow,1.84,1.9777,1
4384,browbeat,0.06,0.6021,2
4385,browned,0.1,0.7782,1
4386,brownies,2.82,2.1614,2
4387,brownish,0.24,1.1139,2
4388,brownout,0.1,0.7782,2
4389,brownouts,0.04,0.4771,2
4390,browns,1.51,1.8921,1
4391,brownstone,0.49,1.415,2
4392,brows,0.24,1.1139,1
4393,browse,0.59,1.4914,1
4394,browser,0.18,1.0,2
4395,browsers,0.02,0.301,2
4396,browsing,1.02,1.7243,2
4397,bruise,3.24,2.2201,1
4398,bruised,2.1,2.0334,1
4399,bruises,5.27,2.4314,2
4400,bruising,1.69,1.9395,2
4401,brunch,3.71,2.2788,1
4402,brunches,0.1,0.7782,2
4403,brunet,0.02,0.301,2
4404,brunette,3.49,2.2529,2
4405,brunettes,0.35,1.2788,2
4406,brunt,0.49,1.415,1
4407,brush,14.16,2.8591,1
4408,brushed,2.41,2.0934,1
4409,brushes,1.41,1.8633,2
4410,brushfire,0.04,0.4771,2
4411,brushing,2.18,2.0492,2
4412,brushwork,0.02,0.301,2
4413,brusque,0.08,0.699,1
4414,brussel,0.06,0.6021,2
4415,brutal,7.35,2.5752,2
4416,brutalities,0.02,0.301,4
4417,brutality,2.2,2.0531,4
4418,brutalize,0.08,0.699,3
4419,brutalized,0.22,1.0792,3
4420,brutalizes,0.02,0.301,4
4421,brutalizing,0.06,0.6021,4
4422,brutally,1.8,1.9685,3
4423,brute,3.18,2.2122,1
4424,brutish,0.41,1.3424,2
4425,bub,1.63,1.9243,1
4426,bubble,8.0,2.6117,2
4427,bubbled,0.06,0.6021,2
4428,bubbles,5.98,2.4857,2
4429,bubbling,1.1,1.7559,3
4430,bubbly,1.37,1.8513,2
4431,bubonic,0.41,1.3424,3
4432,buccal,0.06,0.6021,2
4433,buccaneer,0.12,0.8451,3
4434,bucked,0.31,1.2304,1
4435,bucket,10.02,2.7093,2
4436,buckets,2.78,2.1553,2
4437,buckeye,0.18,1.0,2
4438,bucking,1.25,1.8129,2
4439,buckle,5.04,2.4116,2
4440,buckled,0.59,1.4914,2
4441,buckles,0.59,1.4914,2
4442,buckling,0.35,1.2788,2
4443,bucko,0.63,1.5185,2
4444,bucks,56.2,3.4574,1
4445,buckshot,1.02,1.7243,2
4446,buckskin,0.14,0.9031,2
4447,buckskins,0.02,0.301,2
4448,bucolic,0.14,0.9031,3
4449,buddie,0.04,0.4771,2
4450,buddies,12.14,2.7924,2
4451,budding,0.65,1.5315,2
4452,buddy,102.88,3.72,2
4453,budge,2.04,2.0212,1
4454,budged,0.12,0.8451,1
4455,budget,10.06,2.711,2
4456,budgetary,0.14,0.9031,4
4457,budgeted,0.16,0.9542,3
4458,budgeting,0.08,0.699,3
4459,budgets,0.49,1.415,2
4460,budging,0.16,0.9542,2
4461,buds,1.76,1.959,1
4462,buff,2.49,2.1072,1
4463,buffalos,0.06,0.6021,3
4464,buffer,1.67,1.9345,2
4465,buffered,0.04,0.4771,2
4466,buffering,0.08,0.699,3
4467,buffers,0.2,1.0414,2
4468,buffet,4.43,2.356,2
4469,buffeted,0.08,0.699,2
4470,buffeting,0.02,0.301,3
4471,buffets,0.22,1.0792,2
4472,buffo,0.02,0.301,2
4473,buffoon,0.86,1.6532,2
4474,buffs,0.14,0.9031,1
4475,bug,20.94,3.029,1
4476,bugaboo,0.14,0.9031,3
4477,bugged,2.55,2.1173,1
4478,bugger,4.35,2.3483,2
4479,buggers,0.82,1.6335,2
4480,buggies,0.41,1.3424,2
4481,bugging,4.59,2.3711,2
4482,buggy,2.49,2.1072,2
4483,bugle,1.73,1.9494,2
4484,bugles,0.33,1.2553,2
4485,bugling,0.22,1.0792,3
4486,bugs,13.63,2.8426,1
4487,build,48.08,3.3897,1
4488,builder,0.94,1.6902,2
4489,builders,0.59,1.4914,2
4490,building,99.57,3.7058,2
4491,buildings,9.98,2.7076,2
4492,builds,3.51,2.2553,1
4493,buildup,1.16,1.7782,2
4494,buildups,0.04,0.4771,2
4495,built,41.16,3.3222,1
4496,bulb,3.92,2.3032,1
4497,bulbous,0.22,1.0792,2
4498,bulbs,1.71,1.9445,1
4499,bulge,0.94,1.6902,1
4500,bulged,0.02,0.301,1
4501,bulges,0.1,0.7782,2
4502,bulging,0.78,1.6128,2
4503,bulimia,0.37,1.301,4
4504,bulimic,0.57,1.4771,3
4505,bulk,1.9,1.9912,1
4506,bulkhead,0.94,1.6902,2
4507,bulkheads,0.08,0.699,2
4508,bulkier,0.04,0.4771,3
4509,bulky,0.51,1.4314,2
4510,bull,27.51,3.1474,1
4511,bulla,0.02,0.301,2
4512,bulldoze,0.27,1.1761,2
4513,bulldozed,0.06,0.6021,2
4514,bulldozer,1.29,1.8261,3
4515,bulldozers,0.43,1.3617,3
4516,bulldozes,0.04,0.4771,3
4517,bulldozing,0.16,0.9542,3
4518,buller,0.02,0.301,2
4519,bullet,38.24,3.2903,2
4520,bulletin,3.59,2.2648,3
4521,bulletins,0.33,1.2553,3
4522,bulletproof,2.55,2.1173,3
4523,bullets,17.67,2.9552,2
4524,bullfight,0.29,1.2041,2
4525,bullfighter,0.67,1.5441,3
4526,bullfighting,0.27,1.1761,3
4527,bullfights,0.12,0.8451,2
4528,bullfrog,0.51,1.4314,2
4529,bullfrogs,0.04,0.4771,2
4530,bullheads,0.04,0.4771,2
4531,bullhorn,0.45,1.3802,2
4532,bullhorns,0.04,0.4771,2
4533,bullied,1.69,1.9395,2
4534,bullies,1.75,1.9542,2
4535,bullion,0.84,1.6435,2
4536,bullish,0.02,0.301,2
4537,bullpen,0.65,1.5315,2
4538,bulls,5.18,2.4232,1
4539,bullshit,69.35,3.5488,2
4540,bully,7.22,2.567,2
4541,bullying,0.98,1.7076,3
4542,bulwark,0.16,0.9542,2
4543,bum,15.43,2.8965,1
4544,bumble,0.24,1.1139,2
4545,bumbling,0.43,1.3617,3
4546,bummed,2.33,2.0792,1
4547,bummer,4.16,2.3284,2
4548,bump,12.35,2.8,1
4549,bumped,6.08,2.4928,1
4550,bumper,3.55,2.2601,2
4551,bumpers,0.31,1.2304,2
4552,bumping,1.84,1.9777,2
4553,bumpkin,0.37,1.301,2
4554,bumps,3.47,2.2504,1
4555,bums,3.73,2.281,1
4556,bun,2.88,2.1703,1
4557,bunce,0.04,0.4771,1
4558,bunch,58.88,3.4777,1
4559,bunched,0.2,1.0414,1
4560,bunches,0.75,1.5911,2
4561,bunching,0.06,0.6021,2
4562,bunchy,0.02,0.301,2
4563,bundle,3.9,2.301,2
4564,bundled,0.31,1.2304,2
4565,bundles,0.9,1.6721,2
4566,bundling,0.06,0.6021,3
4567,bungalow,1.65,1.9294,3
4568,bungalows,0.25,1.1461,3
4569,bungee,0.71,1.5682,2
4570,bungled,0.41,1.3424,2
4571,bungler,0.12,0.8451,2
4572,bunglers,0.06,0.6021,2
4573,bungling,0.33,1.2553,3
4574,bunk,6.27,2.5065,1
4575,bunker,4.69,2.3802,2
4576,bunkers,0.78,1.6128,2
4577,bunks,1.08,1.7482,1
4578,bunnies,1.8,1.9685,2
4579,buns,3.78,2.2878,1
4580,bunting,0.22,1.0792,2
4581,buoy,1.18,1.7853,2
4582,buoyancy,0.35,1.2788,3
4583,buoyant,0.18,1.0,2
4584,buoyed,0.1,0.7782,2
4585,buoys,0.2,1.0414,2
4586,bur,0.12,0.8451,1
4587,burble,0.04,0.4771,2
4588,burbled,0.04,0.4771,2
4589,burbles,0.02,0.301,2
4590,burbling,0.06,0.6021,2
4591,burden,9.82,2.7007,2
4592,burdened,0.65,1.5315,2
4593,burdens,0.88,1.6628,2
4594,burdensome,0.02,0.301,3
4595,bureaucracies,0.06,0.6021,4
4596,bureaucracy,0.51,1.4314,4
4597,bureaucrat,0.57,1.4771,3
4598,bureaucratic,0.8,1.6232,4
4599,bureaucrats,0.65,1.5315,3
4600,bureaus,0.14,0.9031,2
4601,burg,0.55,1.4624,1
4602,burgeoning,0.33,1.2553,3
4603,burger,10.24,2.7185,2
4604,burgers,5.0,2.4082,2
4605,burglar,5.53,2.4518,2
4606,burglaries,0.8,1.6232,3
4607,burglarize,0.06,0.6021,3
4608,burglarized,0.2,1.0414,3
4609,burglars,2.1,2.0334,2
4610,burglary,3.57,2.2625,3
4611,burgling,0.16,0.9542,2
4612,burgomaster,0.43,1.3617,4
4613,burial,4.75,2.3856,3
4614,burials,0.2,1.0414,3
4615,buried,34.08,3.2403,2
4616,buries,0.76,1.6021,2
4617,burlap,0.22,1.0792,2
4618,burlesque,0.71,1.5682,2
4619,burly,0.33,1.2553,2
4620,burn,55.22,3.4498,1
4621,burned,28.39,3.1611,1
4622,burner,1.82,1.9731,2
4623,burners,0.55,1.4624,2
4624,burning,30.61,3.1937,2
4625,burnings,0.1,0.7782,2
4626,burnished,0.04,0.4771,2
4627,burnout,0.24,1.1139,2
4628,burnt,9.57,2.6893,1
4629,burp,1.29,1.8261,1
4630,burping,0.47,1.3979,2
4631,burrito,1.65,1.9294,3
4632,burritos,0.73,1.5798,3
4633,burro,0.9,1.6721,2
4634,burros,0.57,1.4771,2
4635,burrow,0.55,1.4624,2
4636,burrower,0.06,0.6021,3
4637,burrowing,0.43,1.3617,3
4638,burry,0.12,0.8451,2
4639,burse,0.02,0.301,1
4640,burst,8.53,2.6395,1
4641,bursting,2.33,2.0792,2
4642,bursts,1.14,1.7709,1
4643,bury,20.67,3.0233,2
4644,burying,2.33,2.0792,3
4645,bus,74.18,3.578,1
4646,busboy,1.69,1.9395,2
4647,busboys,0.47,1.3979,2
4648,bused,0.02,0.301,1
4649,buses,3.94,2.3054,2
4650,bush,14.12,2.8579,1
4651,bushel,0.63,1.5185,2
4652,bushels,0.16,0.9542,2
4653,busher,0.02,0.301,2
4654,bushes,4.88,2.3979,2
4655,bushings,0.04,0.4771,2
4656,bushwhack,0.2,1.0414,2
4657,bushwhacked,0.22,1.0792,2
4658,bushwhacking,0.08,0.699,3
4659,bushy,0.49,1.415,2
4660,busied,0.04,0.4771,2
4661,busier,0.55,1.4624,3
4662,busiest,0.86,1.6532,3
4663,busily,0.08,0.699,3
4664,business,321.0,4.2141,2
4665,businesses,3.04,2.1931,3
4666,businesslike,0.24,1.1139,3
4667,businessman,7.92,2.6075,3
4668,businessmen,2.47,2.1038,3
4669,businessperson,0.04,0.4771,4
4670,businesswoman,0.49,1.415,4
4671,businesswomen,0.2,1.0414,4
4672,busing,0.27,1.1761,2
4673,busload,0.47,1.3979,2
4674,busloads,0.06,0.6021,2
4675,buss,0.18,1.0,1
4676,bussed,0.1,0.7782,1
4677,busses,0.24,1.1139,2
4678,bussing,0.2,1.0414,2
4679,bust,27.57,3.1483,1
4680,bustard,0.06,0.6021,2
4681,busted,22.9,3.0678,2
4682,busters,0.33,1.2553,2
4683,bustier,0.18,1.0,2
4684,busting,5.78,2.4713,2
4685,bustle,0.82,1.6335,2
4686,bustling,0.27,1.1761,3
4687,busts,1.41,1.8633,1
4688,busty,0.24,1.1139,2
4689,busy,106.53,3.7351,2
4690,but,4417.47,5.3527,1
4691,butane,0.29,1.2041,2
4692,butcher,8.51,2.6385,2
4693,butchered,1.53,1.8976,2
4694,butchering,0.31,1.2304,3
4695,butchers,0.8,1.6232,2
4696,butchery,0.25,1.1461,3
4697,butler,9.96,2.7067,2
4698,butlers,0.65,1.5315,2
4699,buts,1.59,1.9138,1
4700,butt,38.57,3.294,1
4701,butter,20.43,3.0183,2
4702,butterball,0.33,1.2553,3
4703,butterballs,0.2,1.0414,3
4704,buttercups,0.1,0.7782,3
4705,buttered,0.82,1.6335,2
4706,butterfat,0.04,0.4771,3
4707,butterflies,2.25,2.0645,3
4708,butterfly,5.51,2.4502,3
4709,buttering,0.27,1.1761,3
4710,buttermilk,1.22,1.7993,3
4711,butterscotch,0.49,1.415,3
4712,buttery,0.33,1.2553,3
4713,butting,1.45,1.8751,2
4714,buttock,0.33,1.2553,2
4715,buttocks,1.82,1.9731,2
4716,button,28.25,3.159,2
4717,buttoned,0.75,1.5911,2
4718,buttonhole,0.22,1.0792,3
4719,buttonholed,0.02,0.301,3
4720,buttonholes,0.06,0.6021,3
4721,buttons,8.71,2.6484,2
4722,buttress,0.04,0.4771,2
4723,buttressed,0.02,0.301,2
4724,buttresses,0.04,0.4771,3
4725,buttressing,0.02,0.301,3
4726,butts,5.73,2.4669,1
4727,buxom,0.1,0.7782,2
4728,buy,192.43,3.9919,1
4729,buyer,5.18,2.4232,2
4730,buyers,2.37,2.0864,2
4731,buying,32.92,3.2253,2
4732,buyout,0.22,1.0792,2
4733,buyouts,0.04,0.4771,2
4734,buys,7.06,2.5575,1
4735,buzzard,1.82,1.9731,2
4736,buzzards,1.45,1.8751,2
4737,buzzed,0.94,1.6902,1
4738,buzzer,3.94,2.3054,2
4739,buzzes,1.22,1.7993,2
4740,buzzing,4.33,2.3464,2
4741,buzzword,0.12,0.8451,2
4742,buzzwords,0.04,0.4771,2
4743,by,1340.47,4.8348,1
4744,bygone,0.25,1.1461,2
4745,bygones,3.41,2.243,2
4746,bylaw,0.12,0.8451,2
4747,bylaws,0.43,1.3617,2
4748,byline,0.39,1.3222,2
4749,bylines,0.04,0.4771,2
4750,bypass,3.57,2.2625,2
4751,bypassed,0.37,1.301,2
4752,bypasses,0.14,0.9031,3
4753,bypassing,0.22,1.0792,3
4754,byproduct,0.25,1.1461,3
4755,byproducts,0.24,1.1139,3
4756,bystander,0.88,1.6628,3
4757,bystanders,0.45,1.3802,3
4758,byte,0.12,0.8451,1
4759,byway,0.14,0.9031,2
4760,byways,0.18,1.0,2
4761,byword,0.04,0.4771,2
4762,cab,35.8,3.2617,1
4763,caba,0.04,0.4771,2
4764,cabal,0.25,1.1461,2
4765,caballero,0.41,1.3424,4
4766,cabana,0.9,1.6721,3
4767,cabanas,0.04,0.4771,3
4768,cabaret,2.25,2.0645,3
4769,cabarets,0.25,1.1461,3
4770,cabbage,2.9,2.1732,2
4771,cabbages,0.73,1.5798,3
4772,cabbie,1.39,1.8573,2
4773,cabbies,0.14,0.9031,2
4774,cabby,0.75,1.5911,2
4775,cabdriver,0.27,1.1761,3
4776,cabdrivers,0.02,0.301,3
4777,cabernet,0.53,1.4472,3
4778,cabernets,0.02,0.301,3
4779,cabin,19.65,3.0013,2
4780,cabinet,8.33,2.6294,3
4781,cabinets,1.2,1.7924,3
4782,cabins,0.94,1.6902,2
4783,cable,21.73,3.0449,2
4784,cabled,0.37,1.301,2
4785,cablegram,0.2,1.0414,3
4786,cables,2.16,2.0453,2
4787,caboodle,0.67,1.5441,3
4788,caboose,0.59,1.4914,2
4789,cabooses,0.16,0.9542,3
4790,cabs,2.14,2.0414,1
4791,cacciatore,0.24,1.1139,4
4792,cache,0.61,1.5051,1
4793,caches,0.06,0.6021,2
4794,cachet,0.18,1.0,2
4795,caching,0.02,0.301,2
4796,cackle,0.29,1.2041,2
4797,cackling,0.69,1.5563,3
4798,cacophony,0.25,1.1461,4
4799,cacti,0.08,0.699,2
4800,cactus,2.9,2.1732,2
4801,cad,1.04,1.7324,1
4802,cadaver,1.18,1.7853,3
4803,cadavers,0.71,1.5682,3
4804,caddies,0.04,0.4771,2
4805,caddy,2.84,2.1644,2
4806,cadence,0.29,1.2041,2
4807,cadences,0.02,0.301,3
4808,cadet,3.45,2.248,2
4809,cadets,1.43,1.8692,2
4810,cadmium,0.14,0.9031,3
4811,cadre,0.24,1.1139,2
4812,cadres,0.08,0.699,2
4813,cads,0.08,0.699,1
4814,cafe,5.06,2.4133,2
4815,cafes,0.31,1.2304,2
4816,cafeteria,5.67,2.4624,5
4817,cafeterias,0.08,0.699,5
4818,caffeine,2.94,2.179,2
4819,caftan,0.1,0.7782,2
4820,caftans,0.04,0.4771,2
4821,cage,20.27,3.0149,1
4822,caged,1.63,1.9243,1
4823,cages,2.43,2.0969,2
4824,cagey,0.57,1.4771,2
4825,cahoot,0.04,0.4771,2
4826,cahoots,0.63,1.5185,2
4827,cairn,0.06,0.6021,1
4828,cairns,0.02,0.301,1
4829,caisson,0.04,0.4771,2
4830,caissons,0.12,0.8451,2
4831,cajole,0.14,0.9031,2
4832,cajoled,0.06,0.6021,2
4833,cajoling,0.08,0.699,3
4834,cake,45.06,3.3615,1
4835,caked,0.18,1.0,1
4836,cakes,5.71,2.4654,1
4837,calamari,0.61,1.5051,4
4838,calamine,0.2,1.0414,3
4839,calamities,0.08,0.699,4
4840,calamitous,0.12,0.8451,4
4841,calcified,0.16,0.9542,3
4842,calcify,0.02,0.301,3
4843,calcite,0.08,0.699,2
4844,calcium,1.76,1.959,3
4845,calculate,2.08,2.0294,3
4846,calculated,2.35,2.0828,4
4847,calculates,0.2,1.0414,3
4848,calculating,1.18,1.7853,4
4849,calculation,0.63,1.5185,4
4850,calculations,2.33,2.0792,4
4851,calculator,1.29,1.8261,4
4852,calculators,0.2,1.0414,4
4853,calculus,0.92,1.6812,3
4854,caldera,0.12,0.8451,3
4855,calendar,7.12,2.5611,3
4856,calendars,0.67,1.5441,3
4857,calendula,0.04,0.4771,4
4858,calf,2.96,2.1818,1
4859,caliber,2.73,2.1461,3
4860,calibrate,0.24,1.1139,3
4861,calibrated,0.47,1.3979,4
4862,calibration,0.22,1.0792,4
4863,calico,0.31,1.2304,3
4864,calipers,0.02,0.301,3
4865,caliph,0.16,0.9542,2
4866,calisthenics,0.53,1.4472,4
4867,call,861.39,4.6428,1
4868,calla,0.22,1.0792,2
4869,called,340.02,4.2391,1
4870,caller,4.35,2.3483,2
4871,callers,0.82,1.6335,2
4872,calles,0.04,0.4771,1
4873,calligrapher,0.06,0.6021,4
4874,calligraphic,0.02,0.301,4
4875,calligraphy,0.55,1.4624,4
4876,calling,123.75,3.8002,2
4877,calliope,0.27,1.1761,4
4878,callous,0.98,1.7076,2
4879,calloused,0.16,0.9542,2
4880,callously,0.1,0.7782,3
4881,callousness,0.16,0.9542,3
4882,callow,0.25,1.1461,2
4883,calls,80.33,3.6126,1
4884,callus,0.22,1.0792,2
4885,calm,89.04,3.6572,1
4886,calmed,1.67,1.9345,1
4887,calmer,0.71,1.5682,2
4888,calming,1.12,1.7634,2
4889,calmly,2.43,2.0969,2
4890,calmness,0.1,0.7782,2
4891,calms,1.18,1.7853,1
4892,calor,0.02,0.301,2
4893,caloric,0.08,0.699,3
4894,calorie,0.24,1.1139,3
4895,calories,1.55,1.9031,3
4896,calves,1.61,1.9191,1
4897,calypsos,0.02,0.301,3
4898,camaraderie,0.53,1.4472,5
4899,cambrian,0.1,0.7782,3
4900,camcorder,0.63,1.5185,3
4901,camcorders,0.06,0.6021,3
4902,came,463.73,4.3738,1
4903,camel,5.02,2.4099,2
4904,camels,1.41,1.8633,2
4905,cameo,0.47,1.3979,3
4906,cameos,0.1,0.7782,3
4907,camera,57.0,3.4636,3
4908,cameraman,2.16,2.0453,4
4909,cameramen,0.35,1.2788,4
4910,cameras,17.94,2.9619,3
4911,camouflage,1.84,1.9777,3
4912,camouflaged,0.27,1.1761,3
4913,camouflaging,0.14,0.9031,4
4914,camp,51.22,3.4171,1
4915,campaign,16.78,2.933,2
4916,campaigned,0.24,1.1139,2
4917,campaigner,0.16,0.9542,3
4918,campaigners,0.02,0.301,3
4919,campaigning,0.88,1.6628,3
4920,campaigns,0.9,1.6721,2
4921,camped,1.24,1.8062,1
4922,camper,1.43,1.8692,2
4923,campers,0.88,1.6628,2
4924,campesinos,0.35,1.2788,4
4925,campfire,1.25,1.8129,3
4926,campfires,0.31,1.2304,3
4927,campground,0.18,1.0,2
4928,camping,6.18,2.4997,2
4929,camps,3.76,2.2856,1
4930,campsite,0.59,1.4914,2
4931,campsites,0.12,0.8451,2
4932,campus,10.71,2.738,2
4933,campuses,0.12,0.8451,3
4934,campy,0.06,0.6021,2
4935,camshaft,0.22,1.0792,2
4936,camshafts,0.04,0.4771,2
4937,can,5247.45,5.4275,1
4938,canal,6.39,2.5145,2
4939,canals,0.65,1.5315,2
4940,canard,0.12,0.8451,2
4941,canaries,0.76,1.6021,3
4942,canary,2.92,2.1761,3
4943,canasta,0.49,1.415,3
4944,cancan,0.27,1.1761,2
4945,cancel,18.29,2.9703,2
4946,canceled,7.29,2.5717,2
4947,canceling,1.55,1.9031,3
4948,cancellation,1.27,1.8195,4
4949,cancellations,0.22,1.0792,4
4950,cancelled,6.51,2.5224,2
4951,cancelling,0.76,1.6021,3
4952,cancels,0.49,1.415,2
4953,cancer,22.33,3.0569,2
4954,cancerous,0.25,1.1461,3
4955,cancers,0.41,1.3424,2
4956,candelabra,0.12,0.8451,4
4957,candid,2.0,2.0128,2
4958,candida,0.04,0.4771,3
4959,candidacy,0.63,1.5185,4
4960,candidate,8.51,2.6385,3
4961,candidates,3.86,2.2967,3
4962,candidly,0.51,1.4314,3
4963,candied,0.27,1.1761,2
4964,candies,1.12,1.7634,2
4965,candle,8.02,2.6128,2
4966,candlelight,1.67,1.9345,3
4967,candles,10.51,2.73,2
4968,candlestick,0.49,1.415,3
4969,candlesticks,0.59,1.4914,3
4970,candor,1.0,1.716,2
4971,candy,35.78,3.2615,2
4972,cane,8.33,2.6294,1
4973,caned,0.12,0.8451,1
4974,canes,0.43,1.3617,1
4975,canine,1.69,1.9395,2
4976,canines,0.25,1.1461,2
4977,caning,0.08,0.699,2
4978,canister,1.43,1.8692,3
4979,canisters,1.78,1.9638,3
4980,canker,0.41,1.3424,2
4981,cann,0.61,1.5051,1
4982,cannabis,0.45,1.3802,3
4983,canned,4.2,2.3324,1
4984,canner,0.08,0.699,2
4985,canneries,0.04,0.4771,3
4986,cannery,0.25,1.1461,3
4987,cannibal,1.1,1.7559,3
4988,cannibalism,0.57,1.4771,5
4989,cannibalize,0.14,0.9031,4
4990,cannibalizing,0.1,0.7782,5
4991,cannibals,0.96,1.699,3
4992,canning,0.2,1.0414,2
4993,cannister,0.04,0.4771,3
4994,cannon,8.71,2.6484,2
4995,cannons,1.65,1.9294,2
4996,cannot,126.76,3.8106,2
4997,canny,0.22,1.0792,2
4998,canoe,3.57,2.2625,2
4999,canoeing,0.18,1.0,3
5000,canoes,0.65,1.5315,2
5001,canon,0.98,1.7076,2
5002,canonical,0.02,0.301,4
5003,canonize,0.04,0.4771,3
5004,canonized,0.04,0.4771,3
5005,canons,0.37,1.301,2
5006,canopy,1.69,1.9395,3
5007,cans,7.67,2.5933,1
5008,cant,2.33,2.0792,1
5009,cantaloupe,0.75,1.5911,3
5010,cantaloupes,0.24,1.1139,3
5011,cantankerous,0.22,1.0792,4
5012,cantata,0.08,0.699,3
5013,canteen,1.71,1.9445,2
5014,canteens,0.63,1.5185,2
5015,canter,0.22,1.0792,2
5016,cantina,0.59,1.4914,3
5017,cantle,0.02,0.301,2
5018,canto,0.14,0.9031,2
5019,cantons,0.02,0.301,2
5020,canty,0.04,0.4771,2
5021,canvas,4.24,2.3365,2
5022,canvases,0.47,1.3979,3
5023,canvass,0.96,1.699,2
5024,canvassed,0.18,1.0,2
5025,canvasses,0.08,0.699,3
5026,canvassing,0.53,1.4472,3
5027,canyons,0.61,1.5051,2
5028,cap,18.75,2.9809,1
5029,capabilities,1.98,2.0086,5
5030,capability,1.37,1.8513,5
5031,capable,20.82,3.0265,3
5032,capacious,0.06,0.6021,3
5033,capacitance,0.02,0.301,4
5034,capacities,0.24,1.1139,4
5035,capacitor,0.27,1.1761,4
5036,capacitors,0.1,0.7782,4
5037,capacity,8.1,2.617,4
5038,caped,0.14,0.9031,1
5039,caper,1.76,1.959,2
5040,capers,0.63,1.5185,2
5041,capes,0.31,1.2304,1
5042,capillaries,0.22,1.0792,4
5043,capillary,0.24,1.1139,4
5044,capita,0.29,1.2041,3
5045,capital,12.71,2.8122,3
5046,capitalism,1.0,1.716,5
5047,capitalist,1.53,1.8976,4
5048,capitalistic,0.29,1.2041,5
5049,capitalists,0.43,1.3617,4
5050,capitalization,0.22,1.0792,6
5051,capitalize,0.47,1.3979,4
5052,capitalized,0.22,1.0792,4
5053,capitalizes,0.02,0.301,5
5054,capitalizing,0.06,0.6021,5
5055,capitals,0.53,1.4472,3
5056,capitan,0.53,1.4472,3
5057,capitols,0.04,0.4771,3
5058,capitulate,0.31,1.2304,4
5059,capitulated,0.02,0.301,5
5060,capitulation,0.1,0.7782,5
5061,capo,0.51,1.4314,2
5062,capon,0.08,0.699,2
5063,capped,1.22,1.7993,1
5064,cappella,0.43,1.3617,3
5065,capper,0.22,1.0792,2
5066,capping,0.08,0.699,2
5067,cappuccino,2.86,2.1673,4
5068,caprices,0.04,0.4771,3
5069,capricious,0.41,1.3424,3
5070,caps,2.96,2.1818,1
5071,capsaicin,0.06,0.6021,3
5072,capsize,0.22,1.0792,2
5073,capsized,0.45,1.3802,2
